"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","steps"
"1",99.9066402147275,0.999025289438491,99.8682291703921,99.936133485078,0.0798226164079823,0,NA,1000
"2",99.9188604399567,0.999152827848783,99.88196799096,99.9465219229097,0.0799975958648876,0,NA,2000
"3",99.9070516792663,0.999029561710308,99.8673368611517,99.9372796460565,0.0803383318874706,0,NA,3000
"4",99.9200665046681,0.999165405003073,99.882024851336,99.9482647865051,0.0807967770814682,0,NA,4000
"5",99.910820451843,0.999068911234377,99.8702747629401,99.9412221479653,0.0809552120491478,0,NA,5000
"6",99.911190053286,0.9990728112706,99.8698997355857,99.9419784494712,0.0810903128842738,0,NA,6000
"7",99.9115857971425,0.999076888023238,99.8695106726617,99.9427750738013,0.0812349695855142,0,NA,7000
"8",99.8973456518551,0.998928299012726,99.8516697967531,99.9317764309769,0.0813169086376302,0,NA,8000
"9",99.9010503881869,0.998966975952109,99.8550492665465,99.9353529655032,0.0811006241437053,0,NA,9000
"10",99.9208735559424,0.999173936719114,99.8778219473605,99.9516610247546,0.0811046051590441,0,NA,10000
"11",99.8970176305816,0.998924898557563,99.8480149863988,99.9333445004257,0.0815208436315703,0,NA,11000
"12",99.8968894999141,0.99892368582324,99.8466183447101,99.933924335004,0.0807269290256058,0,NA,12000
"13",99.9012390016161,0.998969043108077,99.8505126167509,99.9380969843264,0.0809391273119052,0,NA,13000
"14",99.9012972363226,0.998969572176421,99.8491617033877,99.9388913779671,0.0810302688475277,0,NA,14000
"15",99.9112250937068,0.999073157922513,99.8597335235635,99.9473781460679,0.0817222331820872,0,NA,15000
"16",99.896244034032,0.998916723653506,99.8398025860842,99.9366120045782,0.0816040672338659,0,NA,16000
"17",99.9069818340994,0.999028697564567,99.8511105427424,99.9458044490254,0.0817465528562049,0,NA,17000
"18",99.9131743459134,0.999093475773054,99.8568346579258,99.9513964552645,0.0813845797638342,0,NA,18000
"19",99.8955517326124,0.998909481605221,99.8328207046893,99.9391436346303,0.0815925288768739,0,NA,19000
"20",99.9345378371302,0.999316581338354,99.8796458120822,99.9686040271156,0.0815003927729772,0,NA,20000
"21",99.92995236761,0.999268698323741,99.8712177640983,99.9664044895575,0.0817455869991594,0,NA,21000
"22",99.9472732750829,0.999449518777338,99.8913931625807,99.978798578003,0.0821030430852666,0,NA,22000
"23",99.9348321928967,0.999319599913553,99.8716340395377,99.9718611016331,0.0826001955034213,0,NA,23000
"24",99.9379212486697,0.999351839312383,99.8721361412664,99.975037595756,0.0824760553387726,0,NA,24000
"25",99.9221486959907,0.999187154301049,99.8466598348821,99.96638353142,0.0829116387699494,0,NA,25000
"26",99.9245364381199,0.999211958052313,99.8445784240864,99.9696545227818,0.0845191893057352,0,NA,26000
"27",99.9516674722088,0.999495315939174,99.8762961910124,99.9868294928543,0.08373610439826,0,NA,27000
"28",99.9450247388675,0.999425676027012,99.8593018607927,99.9850191250041,0.0858988455195162,0,NA,28000
"29",99.968132568515,0.99966707458341,99.8849317867391,99.996140473185,0.0849267049075844,0,NA,29000
"30",99.9431387414708,0.999405941575097,99.8339180743819,99.9882723061089,0.0868081880212282,0,NA,30000
"31",99.9298409728718,0.999267111640584,99.7951037801219,99.9855291842949,0.0853601496725912,0,NA,31000
"32",99.969474969475,0.999681121610932,99.8300440371276,99.9992271761247,0.0876068376068376,0,NA,32000
"33",99.9560632688928,0.999541045661722,99.7554459172122,99.9988876244653,0.0887521968365554,0,NA,33000
"34",99.9216300940439,0.99918073994079,99.5641322404821,99.9980158654535,0.0893416927899686,0,NA,34000
