"","AU565","BT20","BT474","BT483","BT549","CAL51","CAL851","CAMA1","DU4475","EFM19","EVSAT","HCC1143","HCC1187","HCC1500","HCC1937","HCC1954","HCC38","HCC70","HDQP1","HS578T","JIMT1","KPL1","MCF12A","MCF7","MDAMB361","MDAMB415","MDAMB436","MDAMB453","MDAMB468","MX1","T47D","ZR751"
"ER+",0,0,0.0192165564751674,0.320567752091767,4.9982506122857e-05,0,0,0.186166413222063,0,0.0111370555177887,0.00114278049405468,0,9.9965012245714e-05,0.129565688855722,0,0,0,0,0,0.00115633325996521,0,0.00531559510538068,0,0.0822130092948117,0.0092005278326264,0.0109505036251073,0,0.000258969448458716,0,0,0.144065860129753,0.0788930071289652
"HER2+",0.0506424792139077,0,0.365839007861921,0.035188739603327,0,0,0.00297151926302712,0.0547307854683781,0,0.00127959053103007,0.33006212300623,0,0,0.000639795265515037,0.000410004100041,0.0075585789871504,0,0.0143613000755858,0,0.00191938579654511,0,0,0,0.00191938579654511,0.00191938579654511,0.0262316058861164,0,0,0.0120937263794407,0.00139565316423008,0.0346691077079598,0.0561678260965043
"TNBC",0.0214436856264454,0.00200898802079715,0.00885938204578881,0.00220404700071826,0.000884662380458096,0.000279642058165548,0.00532459827759007,0.112518615017209,0,6.22200099552017e-05,0.00747915213718993,0.0269807666525596,0.250981980654072,0,0.00057630244352236,0.000749785775492716,0.000105574324324324,0.0632316574848882,0.000412072588397605,0.0755417879033651,9.33300149328024e-05,0,0.109962813204244,3.11100049776008e-05,0.000653310104529616,0.000913922732673004,0.0355218164605397,0.00783004803187537,0.0128193597718075,0.0866652896166238,0.0617119659106557,0.104152113746201
