"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"ZNF697",3,9,20,0,10,5,59,59,21,17,2,1,3,2,24,36,0,3,22,15
"PHGDH",939,1833,222,33,1744,1836,7112,302,3501,607,167,3,124,147,453,36,4,8,100,104
"HMGCS2",205,4349,20,0,0,2,262,0,0,6,0,1,69,402,3551,7,0,3,15,238
"REG4",1,10,2,0,0,2,6,0,0,0,0,0,0,0,20,0,0,0,0,22
"NOTCH2",514,440,262,5,187,2258,2010,949,904,193,45,5,135,66,2503,360,47,76,642,796
"SEC22B",558,709,614,30,711,6137,2171,871,1646,925,136,50,431,104,3114,1858,50,128,926,928
"AC253572.1",134,151,63,1,44,1328,320,142,96,40,16,12,55,18,291,51,9,17,115,430
"NBPF26",130,82,47,0,55,2349,335,92,105,11,16,2,23,72,34,10,17,35,149,617
"PPIAL4A",19,0,23,0,8,9,23,13,0,0,1,0,11,2,0,0,11,8,25,18
"AC241377.2",0,2,12,0,112,11,0,0,2,1,2,0,0,0,1,0,0,0,20,180
"LINC00623",10,33,26,2,31,624,153,74,95,5,21,5,1,0,9,29,0,0,292,366
"CH17-118O6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCGR1B",2,0,0,0,6,8,0,3,0,3,0,0,0,0,1,3,0,0,1,3
"RP11-439A17.9",2,31,2,0,0,17,0,6,2,0,1,0,0,0,2,0,0,0,1,1
"FAM72B",18,15,4,1,45,277,50,57,47,1,5,1,7,2,2,7,0,1,6,7
"SRGAP2C",30,85,17,0,5,170,184,192,325,5,7,5,3,12,246,115,2,2,40,132
"SRGAP2-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
"CH17-437K3.1",2,0,0,0,0,3,2,7,1,0,1,0,0,0,21,0,0,0,2,3
"RP11-344P13.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-403I13.5",0,25,1,0,2,6,3,1,3,3,0,0,0,0,1,10,0,0,15,9
