"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"RP11-34P13.7",3,7,1,0,2,4,12,3,6,3,0,1,1,2,10,9,1,0,10,9
"FO538757.3",13,0,8,0,3,3,11,4,0,0,0,0,2,2,0,0,0,0,9,6
"FO538757.2",501,277,149,25,161,287,518,170,316,175,92,48,699,33,328,632,37,69,393,516
"AP006222.2",81,212,29,8,36,36,128,96,525,267,21,16,21,8,169,841,11,17,79,105
"RP4-669L17.10",2,3,3,0,2,4,78,13,26,13,1,2,4,4,10,10,2,1,10,15
"RP5-857K21.4",2,1,9,0,9,8,40,10,0,0,5,0,5,5,1,2,4,0,11,19
"RP11-206L10.9",42,39,41,7,99,127,137,90,194,73,20,1,101,20,137,219,11,22,121,112
"LINC00115",106,44,37,6,47,43,189,61,59,40,17,3,43,1,76,78,1,1,88,60
"FAM41C",16,105,13,15,29,14,18,8,254,52,1,7,11,1,65,50,4,1,29,9
"RP11-54O7.3",9,1,15,0,0,0,15,0,0,0,0,2,2,0,0,1,1,0,3,43
"SAMD11",43,21,82,1,0,0,288,5,13,20,0,8,25,3,5,9,6,0,12,145
"NOC2L",1403,1527,625,61,1397,1479,2956,998,1877,1363,150,33,531,138,913,2758,59,95,550,1018
"KLHL17",52,18,21,0,54,20,80,28,68,19,14,3,7,6,44,62,2,10,31,52
"PLEKHN1",211,65,75,1,109,35,366,23,385,57,18,2,21,23,86,53,10,11,54,177
"PERM1",22,46,17,1,2,3,328,7,1,0,0,1,46,9,129,57,2,27,103,129
"RP11-54O7.17",17,35,11,1,0,15,232,40,21,52,6,1,6,20,21,14,0,5,11,16
"HES4",2268,1263,882,57,4,2904,6644,790,3305,3414,185,48,176,463,4986,1738,21,167,284,844
"ISG15",1214,326,722,7,653,481,2434,2614,3616,4337,5548,627,830,59,17804,9629,20,2633,220,390
"AGRN",849,194,321,23,146,142,1520,581,814,543,152,10,173,94,558,340,19,66,755,571
"RP11-54O7.18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"RNF223",211,58,61,1,0,6,303,0,80,120,10,8,87,115,170,435,42,159,448,571
"C1orf159",355,179,99,11,140,242,687,152,97,68,47,9,73,20,172,299,7,15,136,200
"RP11-465B22.8",53,47,28,2,2,13,74,0,82,28,2,6,15,13,132,27,4,4,42,67
"TTLL10",2,5,3,0,1,4,14,0,104,0,0,0,1,5,33,8,2,0,2,10
"TNFRSF18",141,166,433,0,23,57,507,10,61,179,20,23,23,137,607,103,51,322,305,1449
"TNFRSF4",2,6,9,2,42,86,47,7,18,1,20,9,1,2,21,56,0,12,5,7
"SDF4",2295,1219,867,38,1292,1658,8871,5106,3366,1616,360,27,907,408,3033,3242,69,235,1210,1837
"B3GALT6",134,69,75,2,58,80,260,80,101,65,23,2,26,22,102,84,5,7,147,95
"FAM132A",6,13,12,1,5,13,71,1,66,0,2,1,0,0,8,11,2,0,4,11
"RP5-902P8.12",0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0
"UBE2J2",1145,865,432,47,1061,1134,3979,1093,1292,1132,164,28,376,182,1293,1464,30,92,391,587
"SCNN1D",1,4,10,0,2,4,38,1,16,10,1,2,8,1,42,24,2,8,42,80
"ACAP3",246,286,140,11,62,56,567,191,189,200,27,3,35,54,277,243,9,16,114,198
"PUSL1",517,381,256,26,514,356,1173,357,498,599,54,8,133,84,476,656,28,68,249,344
"CPSF3L",1334,849,378,17,845,1296,3253,1086,728,771,129,25,785,162,1323,2224,51,127,404,785
"CPTP",1046,803,248,18,776,363,2485,579,499,478,88,4,150,98,489,757,13,34,200,217
"TAS1R3",68,119,2,1,0,1,9,0,10,17,0,0,1,1,10,0,1,0,49,18
"DVL1",382,181,193,8,176,103,635,217,217,168,39,5,67,28,220,178,21,21,174,204
"MXRA8",165,261,93,6,10,24,94,96,36,6,1,72,51,22,271,51,9,27,60,288
"AURKAIP1",4605,4939,2613,240,4521,4659,17026,5407,6776,7069,575,275,2461,532,8224,11119,197,575,2143,5688
"CCNL2",1036,653,336,36,251,422,2152,778,1133,502,168,51,256,155,1050,1430,42,86,645,760
"MRPL20",3059,3828,2193,147,3036,3525,11303,3591,4061,4676,578,110,1409,391,6656,9088,176,745,2961,3472
"RP4-758J18.13",11,14,15,0,4,10,48,6,15,7,4,0,6,0,2,13,1,2,14,8
"ANKRD65",84,100,107,0,1,4,156,71,43,385,1,0,0,1,74,25,4,0,14,45
"RP4-758J18.7",3,0,2,0,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,10
"RP4-758J18.10",110,4,50,0,2,5,78,1,3,2,20,1,4,5,7,1,10,16,207,145
"VWA1",802,151,628,113,29,0,1495,14,428,493,59,11,63,77,1085,366,21,41,897,702
"ATAD3C",63,54,22,3,3,7,92,39,94,91,4,5,4,25,18,72,4,7,41,276
"ATAD3B",504,234,216,5,695,189,488,512,507,754,52,2,42,36,186,164,6,24,129,173
"ATAD3A",415,383,171,10,602,310,785,506,1190,553,41,0,39,35,314,573,10,14,72,145
"TMEM240",4,5,1,1,0,3,18,23,5,5,1,0,0,0,0,2,0,0,0,4
"SSU72",5710,3113,1832,125,3544,5387,12415,2558,5066,5839,581,85,627,318,5721,4776,112,258,762,2510
"RP5-832C2.5",28,47,26,1,27,33,306,17,152,71,0,0,15,3,118,90,4,6,26,55
"C1orf233",171,38,45,0,15,42,327,1,92,62,4,0,22,10,39,60,12,9,56,35
"RP11-345P4.9",96,114,62,4,81,252,472,41,97,51,6,2,42,12,206,149,4,10,66,50
"MIB2",265,208,113,2,151,216,750,183,393,251,33,7,84,55,617,443,8,24,129,170
"MMP23B",3,13,3,2,2,11,20,57,23,4,2,0,7,1,1,14,2,1,7,6
"CDK11B",332,399,140,10,221,396,1286,241,710,493,45,7,206,63,358,972,20,24,143,312
"RP11-345P4.10",24,21,5,0,10,2,30,9,9,13,3,0,5,0,34,25,3,2,13,6
"SLC35E2B",339,399,208,7,97,270,1123,142,152,84,33,13,176,43,1052,1499,34,29,541,414
"RP11-345P4.7",0,4,1,0,3,38,24,2,0,1,0,0,1,2,2,6,0,0,6,14
"CDK11A",259,305,105,4,145,123,911,226,853,307,29,2,139,28,275,670,18,14,168,249
"SLC35E2",35,38,17,0,32,43,101,28,9,17,8,1,49,0,37,105,0,10,49,35
"NADK",564,473,168,3,259,173,1263,375,590,487,48,9,86,49,670,616,18,17,202,236
"GNB1",1603,709,588,51,391,666,3743,1089,1763,1061,106,23,192,143,1097,1757,40,73,910,1256
"RP1-140A9.1",28,13,2,1,6,2,7,2,5,0,0,0,2,2,16,40,0,1,4,4
"CALML6",0,2,0,0,1,1,15,3,0,0,0,0,2,1,10,3,0,0,1,3
"TMEM52",137,53,28,2,74,5,871,6,192,77,8,1,14,41,117,254,10,41,10,63
"GABRD",14,26,4,0,4,0,337,2,1,0,0,0,9,10,1,123,0,6,0,50
"PRKCZ",457,105,142,9,339,66,1275,2,774,217,86,9,118,59,240,609,19,19,78,208
"RP11-181G12.2",0,3,3,1,0,0,4,0,0,2,0,0,0,1,4,4,0,0,1,3
"FAAP20",1798,1168,1791,58,2532,3556,12885,3371,4015,2203,326,51,719,451,2866,4381,143,455,1384,2387
"SKI",218,178,161,7,153,244,778,302,441,126,32,8,43,64,184,125,10,29,142,332
"MORN1",117,83,64,3,106,69,502,49,217,40,17,2,106,18,159,253,14,35,118,162
"RER1",3804,2217,2358,204,2092,1587,8909,4663,5319,5222,435,187,2134,347,6168,7219,135,797,1887,3945
"PEX10",569,339,171,21,873,502,1100,575,592,326,71,9,193,49,647,1243,31,123,297,607
"PLCH2",31,3,1,0,2,25,112,10,3,7,0,1,1,6,58,1,1,0,119,240
"PANK4",84,38,55,6,19,46,104,69,44,54,9,3,53,7,76,234,0,9,63,70
"HES5",4,0,4,0,0,6,19,0,0,0,0,0,0,0,2,2,0,0,2,1
"RP3-395M20.12",104,32,30,1,29,93,524,27,13,96,17,0,36,17,272,618,6,65,62,340
"RP3-395M20.8",13,4,8,0,4,4,11,2,28,8,4,3,23,9,95,137,0,7,43,30
"TNFRSF14",204,95,188,3,397,252,498,565,521,222,316,7,181,83,1672,1096,43,81,536,657
"RP3-395M20.9",0,1,0,0,0,0,2,0,1,0,0,0,1,1,6,8,0,1,0,2
"FAM213B",572,41,176,8,30,289,1475,353,240,103,22,12,197,148,807,1053,28,127,376,543
"MMEL1",249,61,112,1,5,28,693,5,78,73,8,20,249,143,859,834,17,257,273,920
"TTC34",2,0,1,0,0,1,6,1,3,1,0,0,5,1,34,10,0,0,10,7
"LINC00982",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
"PRDM16",0,0,0,0,0,1,13,2,1,1,0,0,0,0,1,2,0,0,2,0
"ARHGEF16",274,91,129,0,31,35,533,5,262,339,15,3,33,32,278,398,7,24,134,237
"MEGF6",73,0,21,1,195,66,324,3,72,9,14,1,11,22,39,22,2,3,143,216
"RP11-46F15.2",5,5,1,0,3,6,9,0,12,2,0,0,3,0,7,10,0,0,18,4
"TPRG1L",278,253,87,0,87,91,968,172,797,168,17,5,35,25,184,332,7,22,112,241
"WRAP73",367,216,165,4,313,633,1223,351,586,446,39,10,264,73,447,626,16,38,169,344
"TP73",2,2,6,0,0,2,151,40,0,32,0,0,6,12,5,37,4,1,11,30
"TP73-AS1",93,59,48,0,92,94,221,54,112,50,7,3,52,25,201,113,9,24,106,165
"SMIM1",266,107,263,1,85,115,2469,28,198,54,15,30,346,143,1831,1015,29,235,469,1485
"LRRC47",682,493,297,7,1088,996,2365,569,805,465,59,11,171,77,539,1215,24,55,289,493
"CEP104",340,326,144,2,372,510,1693,470,839,321,30,3,106,60,440,666,8,31,101,334
"DFFB",57,32,21,0,74,69,76,63,105,31,8,0,15,6,62,69,4,5,27,54
"C1orf174",668,299,208,5,462,1009,1487,727,920,562,54,5,173,55,632,886,14,53,280,411
"LINC01134",9,20,0,0,15,5,30,6,5,10,0,2,3,1,19,21,0,1,11,7
"AJAP1",0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,14,0,0,0,0
"RP11-154H17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NPHP4",69,22,21,1,19,35,141,65,69,18,13,1,25,8,41,66,4,4,58,66
"KCNAB2",29,10,9,0,45,29,86,308,77,35,5,5,13,15,12,52,0,0,9,20
"RPL22",27513,21426,12825,132,59845,37620,51098,17427,59910,39276,5336,131,10685,2872,39008,64210,3136,3320,9919,23454
"RP1-120G22.11",87,15,12,0,9,2,5,1,20,19,0,0,6,0,13,5,0,5,20,13
"RNF207",137,54,64,1,43,41,49,89,489,77,17,1,11,18,543,467,0,11,55,147
"ICMT",986,394,366,13,713,416,2557,1419,1129,570,73,8,179,102,561,725,24,74,237,770
"LINC00337",11,4,5,0,6,3,15,0,8,18,1,0,1,1,2,2,0,1,2,2
"GPR153",29,4,7,1,22,55,117,63,129,103,3,2,1,7,69,27,1,2,35,18
"ACOT7",357,74,272,3,390,397,1794,1907,393,758,44,14,47,71,142,942,13,18,61,397
"RP1-202O8.3",27,9,12,0,27,18,70,13,13,8,1,0,11,1,52,64,0,6,18,25
"HES2",442,5,34,1,1,9,149,5,6,646,12,1,3,15,49,87,4,7,105,36
"ESPN",115,8,95,10,55,737,250,0,57,39,32,4,53,64,598,32,33,39,477,555
"TNFRSF25",40,34,21,0,20,52,88,32,55,31,13,7,6,1,103,25,2,6,30,56
"PLEKHG5",62,23,32,0,42,16,155,172,82,38,5,2,10,4,201,10,2,6,24,85
"NOL9",232,158,115,3,344,362,878,443,264,193,30,3,117,41,174,333,13,34,92,166
"TAS1R1",1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0
"ZBTB48",208,79,100,0,169,250,568,129,108,90,33,9,118,33,244,505,10,25,118,181
"KLHL21",162,165,167,0,69,101,218,263,445,76,55,4,29,14,187,106,23,33,138,212
"PHF13",155,70,151,1,69,190,643,216,231,51,30,2,143,38,691,356,31,61,271,581
"THAP3",267,159,112,5,214,296,743,294,214,163,36,5,102,24,213,490,9,60,117,309
"DNAJC11",270,184,118,5,253,425,869,267,408,150,26,8,112,35,136,293,6,15,106,178
"RP11-242F24.1",0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,2,1
"RP11-312B8.1",10,8,7,0,12,12,47,7,11,3,2,0,3,0,8,10,1,1,3,7
"CAMTA1",2866,1882,1740,245,2332,4220,8449,1812,6116,3213,674,164,797,205,5785,3570,127,187,2047,2695
"RP4-549F15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VAMP3",1182,438,400,6,716,724,2612,1960,1164,744,154,11,477,124,1545,2016,36,64,488,1062
"PER3",128,33,111,1,14,83,943,25,452,7,25,1,75,23,129,686,12,3,94,184
"RP3-467L1.4",1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0
"UTS2",0,10,0,0,1,7,4,0,1,3,0,0,0,0,1,1,0,0,0,1
"TNFRSF9",1,1,1,0,35,14,13,31,10,3,0,1,0,1,2,7,0,0,1,3
"PARK7",4292,6840,3689,146,5569,8546,21511,7588,7074,9253,853,325,4294,1048,12859,21392,400,1055,2666,5927
"ERRFI1",1789,320,379,17,1386,594,2007,2682,3571,4750,331,43,778,77,2922,5201,155,392,733,1580
"RP11-431K24.1",11,0,2,0,36,26,24,13,417,119,10,0,12,1,10,15,1,0,4,6
"SLC45A1",10,1,2,0,151,19,15,50,24,2,0,0,10,18,164,81,1,4,33,20
"RERE",585,460,591,5,234,532,4078,326,653,325,63,13,280,111,1481,1530,36,67,784,845
"RP5-1115A15.1",1,0,0,0,0,1,1,0,2,0,0,0,0,0,4,1,0,0,2,1
"RP4-633I8.4",0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,1,1
"ENO1",9915,6540,3476,183,10739,9306,42956,14916,19696,29290,2351,99,1106,369,4712,7891,176,207,1093,1856
"ENO1-AS1",30,68,8,2,18,5,63,8,36,16,6,3,5,0,46,28,3,4,25,6
"CA6",0,0,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SLC2A5",15,28,3,0,6,1,10,7,6,22,1,2,0,0,4,2,1,0,1,0
"GPR157",674,441,155,1,23,126,1405,41,244,465,42,4,50,33,320,296,9,14,98,285
"MIR34AHG",48,47,20,1,2,8,163,99,11,10,7,0,4,2,28,28,2,3,23,51
"RP3-510D11.2",37,56,11,0,2,4,80,51,13,79,3,0,5,7,45,90,4,2,41,42
"H6PD",127,167,39,0,48,126,511,348,447,138,16,1,51,26,552,187,7,15,63,108
"SPSB1",365,1189,159,0,69,235,815,341,691,249,43,15,50,10,138,37,6,33,106,318
"SLC25A33",3397,3419,616,16,860,1300,7454,334,2019,323,193,18,95,99,2223,1060,28,99,165,852
"TMEM201",61,84,44,1,59,69,189,100,150,40,11,2,19,8,172,105,6,11,40,41
"PIK3CD",14,18,5,0,44,28,69,53,35,11,4,0,2,2,7,7,0,0,8,15
"PIK3CD-AS1",0,0,1,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PIK3CD-AS2",19,123,12,0,308,246,821,41,203,19,14,0,13,10,14,304,2,9,38,46
"CLSTN1",1392,352,476,7,168,343,3435,979,1439,441,74,6,83,139,1643,793,36,44,881,885
"CTNNBIP1",3321,2595,1006,53,738,1358,8697,1679,2595,2222,166,33,193,80,1475,793,33,73,617,775
"LZIC",890,374,323,8,219,1045,2472,800,765,951,47,10,293,85,1045,991,48,86,444,633
"NMNAT1",108,65,41,1,37,145,300,159,215,104,15,2,45,15,148,353,3,12,54,57
"RBP7",6,700,11,1,5,19,295,7,99,35,21,8,253,41,160,1038,0,8,27,20
"UBE4B",377,193,118,1,188,367,959,284,390,171,42,4,50,26,286,476,19,16,162,286
"KIF1B",455,287,178,7,104,559,1380,327,559,438,70,6,49,54,504,495,12,54,145,333
"PGD",2792,662,836,17,1442,3475,7547,7706,1075,1402,153,9,527,125,661,749,57,95,378,833
"RP4-736L20.3",0,2,3,0,0,1,7,0,2,0,0,0,0,0,0,2,0,1,0,0
"APITD1-CORT",3,11,3,1,7,10,28,7,8,4,0,2,3,1,2,16,0,0,2,2
"APITD1",35,222,12,12,16,37,107,74,469,344,0,7,31,10,296,533,5,6,41,44
"CORT",2,1,1,0,1,6,55,4,3,2,0,0,2,2,1,4,0,0,2,0
"DFFA",453,360,342,10,455,855,1701,1131,1246,740,104,15,171,77,720,1167,22,36,195,399
"PEX14",204,111,74,3,103,335,750,254,288,183,31,5,53,36,277,411,9,15,101,118
"CASZ1",346,480,289,3,49,116,2179,1,497,115,15,6,148,105,791,608,23,47,559,1036
"RP4-734G22.3",7,2,1,0,1,2,50,0,1,1,0,0,2,2,2,1,1,2,11,26
"C1orf127",3,77,0,0,0,0,11,0,2,1,0,0,0,0,1,0,0,0,4,6
"TARDBP",224,654,250,17,71,179,780,344,1234,788,25,37,77,33,1139,2188,19,32,381,598
"RP4-635E18.8",12,8,4,0,1,6,22,4,0,1,1,3,5,0,6,20,0,1,11,7
"SRM",856,1170,626,8,529,1106,2282,1729,1923,2510,117,22,78,44,2439,329,59,43,332,447
"EXOSC10",454,242,214,6,242,628,1146,389,500,323,50,4,173,72,1417,753,53,56,286,346
"RP4-635E18.6",11,48,20,2,35,13,11,7,58,81,2,11,11,1,81,53,3,9,31,3
"MTOR",310,182,87,2,128,229,1064,360,426,155,23,5,67,41,251,263,9,17,117,250
"UBIAD1",337,175,176,1,163,197,1454,373,318,186,24,24,291,49,763,755,19,60,179,402
"PTCHD2",5,1,0,0,0,4,47,1,0,0,1,1,14,0,15,15,0,0,1,40
"RP1-69M21.2",8,0,5,0,0,0,2,0,0,0,0,0,1,0,3,0,1,1,0,0
"FBXO2",158,129,217,1,127,119,1176,7,9234,1036,336,11,419,130,559,762,1,52,64,250
"FBXO44",323,157,209,2,304,482,635,198,614,129,74,18,166,60,724,1009,11,70,283,472
"FBXO6",281,238,125,2,164,284,713,132,476,559,117,9,172,54,971,596,26,92,220,503
"MAD2L2",774,692,586,23,884,2417,7530,1279,1198,1102,89,31,263,117,1289,1989,17,62,339,518
"DRAXIN",1,3,1,0,2,104,160,2,18,6,0,2,1,0,19,15,0,0,9,3
"AGTRAP",1117,391,562,25,756,1665,5853,2973,2310,4014,663,41,864,193,3655,3457,117,197,1379,1616
"C1orf167",37,1,31,0,0,1,225,3,3,385,21,3,77,9,295,14,10,16,98,197
"MTHFR",250,240,85,2,49,105,1112,112,273,171,24,1,145,69,784,163,14,41,232,235
"CLCN6",143,37,59,2,24,110,632,103,132,50,19,3,38,14,129,83,5,12,93,198
"NPPA-AS1",6,3,3,0,0,0,13,1,16,3,0,0,1,0,8,16,0,1,7,1
"KIAA2013",275,287,123,6,126,170,706,204,923,290,55,7,56,25,563,424,7,23,295,202
"PLOD1",491,292,189,2,387,828,1082,2599,928,491,187,0,162,65,556,354,12,44,169,337
"MFN2",328,245,143,2,99,156,812,326,341,247,38,3,78,22,482,494,12,32,321,247
"MIIP",741,304,231,7,786,1303,2390,469,606,348,122,11,197,54,619,1001,18,50,262,395
"TNFRSF8",0,12,0,0,11,2,4,3,1,0,0,0,0,0,3,6,0,0,0,0
"TNFRSF1B",8,28,6,0,104,64,99,545,36,19,11,0,0,21,13,34,0,0,8,10
"VPS13D",338,409,166,1,42,168,1013,210,207,100,20,8,97,44,452,305,20,16,295,446
"DHRS3",595,773,352,1,74,411,577,83,255,495,163,4,68,75,449,1998,13,18,128,61
"RP11-474O21.5",1,17,1,0,0,2,0,1,7,0,0,0,1,0,2,0,1,0,0,1
"HNRNPCL1",1,0,0,0,0,0,0,0,4,1,0,3,0,0,2,3,2,1,1,2
"PDPN",0,0,8,1,2,4,9,577,25,2,0,1,0,2,5,11,0,0,0,0
"PRDM2",367,411,208,3,191,351,1692,238,717,292,29,9,130,56,857,859,29,33,351,679
"KAZN",529,74,125,4,217,143,2039,124,506,169,6,4,36,65,248,123,4,3,178,409
"TMEM51-AS1",9,10,4,0,4,2,34,0,4,9,0,0,1,0,2,1,0,0,3,12
"TMEM51",428,117,91,3,197,77,1249,332,152,183,33,3,32,3,210,294,2,7,46,209
"FHAD1",21,5,13,0,21,7,95,163,8,13,1,1,9,2,23,30,8,1,10,60
"RP3-467K16.4",0,0,0,0,0,0,0,5,2,6,0,0,1,0,0,2,0,0,2,4
"EFHD2",240,242,202,4,156,88,1002,2597,2023,2267,35,3,35,32,666,420,3,8,136,532
"CTRC",1,2,0,1,0,0,2,1,5,4,0,0,0,0,1,0,0,0,0,0
"CELA2B",0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0
"CASP9",92,77,49,1,16,51,201,80,131,475,3,5,33,17,129,165,7,9,68,70
"DNAJC16",206,206,99,1,49,157,447,213,154,114,19,3,71,22,455,684,18,11,233,344
"AGMAT",5,115,36,0,40,29,28,92,103,127,1,0,5,0,107,54,5,1,0,15
"RP4-680D5.2",21,50,6,0,2,7,158,2,17,6,5,1,21,7,14,1,1,0,22,52
"DDI2",461,730,141,1,103,239,1234,144,299,170,23,4,127,70,427,941,9,23,281,463
"PLEKHM2",117,113,69,2,48,69,424,169,269,94,28,2,26,9,133,154,5,7,92,126
"SLC25A34",3,6,0,0,1,3,12,5,7,1,1,0,0,1,6,3,0,1,6,2
"FBLIM1",691,325,324,9,661,1194,2917,4476,1272,410,40,18,7,8,1027,85,10,13,279,257
"UQCRHL",2654,469,1003,32,2787,3849,5010,1716,1168,918,672,109,1029,166,331,603,442,536,807,1159
"FLJ37453",403,302,148,2,128,304,1022,79,310,91,68,3,134,24,123,103,36,26,407,227
"SPEN",415,384,198,4,167,413,1793,410,1090,299,89,10,110,133,659,336,27,53,228,636
"ZBTB17",224,179,89,2,58,301,693,241,226,168,30,3,91,22,266,242,10,13,144,215
"C1orf64",0,0,252,0,0,1,25,0,1,0,0,8,267,378,5549,11007,59,158,2368,3960
"HSPB7",0,0,1,0,0,0,4,0,0,0,0,0,1,1,1,0,0,0,6,1
"CLCNKA",0,2,0,0,0,0,1,1,2,1,0,0,1,0,5,7,0,0,3,4
"CLCNKB",0,1,1,0,0,0,3,0,5,0,0,0,0,2,1,0,0,1,1,5
"FAM131C",11,13,6,0,12,28,51,18,9,22,4,0,1,1,9,36,0,1,1,6
"EPHA2",189,24,43,0,29,32,142,345,474,277,29,3,2,17,71,18,10,33,34,421
"RP11-276H7.2",20,0,6,0,10,10,57,17,9,5,4,0,3,3,4,0,2,0,6,56
"RP11-276H7.3",0,1,0,0,0,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0
"ARHGEF19",79,55,63,1,190,143,501,130,148,138,1,2,34,21,110,317,13,18,95,135
"RSG1",23,16,13,2,15,15,109,46,14,17,0,0,10,6,40,26,4,0,17,28
"FBXO42",239,115,100,3,69,174,748,186,173,111,38,5,84,37,148,111,14,29,143,279
"SZRD1",990,523,553,22,398,717,2675,1926,1321,744,127,37,279,123,788,735,41,118,503,739
"SPATA21",4,0,1,0,2,0,12,6,3,0,0,0,0,1,1,1,0,1,2,6
"NECAP2",536,305,212,13,253,846,1488,840,1119,464,112,20,143,41,760,639,39,22,355,398
"RP4-798A10.2",5,3,1,2,0,4,18,5,15,3,0,0,0,0,8,19,0,0,4,1
"RP4-798A10.7",27,23,12,0,12,45,70,1,33,9,1,1,28,2,45,45,2,4,24,11
"NBPF1",257,96,96,2,157,1137,1266,509,105,66,31,3,386,299,133,244,9,14,656,604
"RP5-1182A14.7",2,0,0,0,0,1,1,0,0,0,0,0,6,0,0,1,0,1,0,3
"CROCC",85,48,39,0,101,405,282,98,61,17,5,2,45,28,197,196,6,10,107,175
"RP11-108M9.4",40,176,98,8,0,281,155,53,32,266,17,2,311,0,33,5,19,0,111,101
"RP11-108M9.6",29,19,46,0,0,62,199,16,55,17,6,0,23,3,27,9,18,12,35,70
"MFAP2",120,29,311,38,83,2102,1236,3078,297,32,61,27,93,78,49,273,0,1,6,28
"RP1-37C10.3",0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"ATP13A2",263,163,138,4,45,116,827,108,562,130,30,6,111,19,616,213,9,17,271,213
"SDHB",1843,1273,814,52,1115,1844,4300,1549,6285,2376,216,76,619,132,1604,2718,46,115,462,888
"PADI2",188,16,299,3,304,649,1469,1,663,5,43,1,5,16,11,9,4,3,3,493
"PADI4",0,0,2,0,1,0,1,1,0,4,0,0,0,0,0,2,0,0,0,1
"RCC2",652,415,391,14,220,401,1276,248,1994,346,63,25,87,67,349,329,21,53,291,570
"ARHGEF10L",55,53,60,3,30,88,198,65,230,32,27,9,36,6,99,165,1,13,99,143
"IGSF21",8,0,34,2,0,3,166,2,3,0,1,0,76,42,1739,306,0,0,6,259
"KLHDC7A",12,2,20,1,0,0,57,0,35,9,0,6,131,5,103,14,0,0,29,109
"ALDH4A1",34,35,94,0,37,60,139,50,271,5,10,2,79,11,145,126,5,5,44,237
"IFFO2",191,33,40,1,34,52,60,74,179,3,7,3,2,3,10,21,2,6,10,37
"UBR4",462,268,213,5,189,409,1830,627,1021,264,47,12,98,65,317,288,18,19,275,439
"RP1-43E13.2",50,16,19,0,4,36,66,40,228,80,30,8,14,8,97,25,8,5,102,44
"EMC1",249,138,93,5,124,174,540,359,588,291,34,15,121,24,170,254,12,24,136,223
"MRTO4",736,460,361,8,962,1626,1957,1132,2162,818,130,14,374,90,557,956,51,66,266,434
"AKR7A3",354,134,703,0,19,14,11,0,948,87,8,9,1193,21,2729,89,93,31,1740,290
"AKR7A2",1399,441,1281,5,1272,1541,5972,2295,5608,2322,125,21,2012,312,3170,2369,104,215,1039,2407
"PQLC2",288,56,124,1,153,257,816,423,210,170,51,8,93,47,247,164,10,24,127,158
"CAPZB",4379,1867,2227,76,2248,4598,9683,5721,6577,3054,420,111,1946,465,2777,4181,103,199,1034,1716
"MINOS1",1507,3540,858,192,707,1137,2137,1026,12598,9500,376,519,2566,168,6629,7591,279,705,1603,934
"NBL1",113,18,42,3,107,4,20,100,2449,534,25,6,231,6,1079,1984,0,0,72,4
"HTR6",3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMCO4",767,163,103,3,75,168,652,159,873,219,57,5,70,23,198,198,16,17,124,219
"RNF186",1,0,0,0,0,3,0,0,6,0,0,0,0,0,2,0,0,0,0,0
"RP11-91K11.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTUD3",135,67,77,1,49,102,563,42,380,55,32,0,29,13,88,80,5,10,45,149
"PLA2G2A",95,0,31,1,4,3,1315,13,249,328,7,13,10,58,405,0,0,0,14,885
"PLA2G5",0,0,0,0,2,17,0,28,4,0,0,0,0,0,11,5,0,0,4,16
"PLA2G2D",2,1,0,0,10,0,8,1,5,1,0,0,0,0,3,13,1,0,0,1
"UBXN10-AS1",198,2,17,1,2,228,93,1,1,488,4,0,118,3,428,52,17,31,316,166
"UBXN10",82,2,14,2,0,29,34,0,1,83,3,5,68,4,400,158,5,8,152,86
"RP4-745E8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2N1",1111,9,877,13,6,139,1269,230,150,170,5,38,342,67,1040,1708,8,26,478,2075
"MUL1",272,144,129,3,100,216,621,410,359,150,21,6,101,25,325,396,11,25,131,199
"FAM43B",0,8,0,0,1,2,8,0,3,0,0,0,0,0,0,0,0,0,1,0
"CDA",89,17,14,0,9,2,11,8,250,689,1,0,1,0,3,15,0,4,1,1
