"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"RP11-34P13.7",1,3,7,12,2,1,0,6,7,16,5,6,4,1,3,2,1,15,20,11,14,1,0,10,9,0
"FO538757.3",2,19,0,0,9,0,0,15,11,13,6,0,0,0,0,0,3,27,0,0,0,0,0,9,8,0
"FO538757.2",484,758,328,422,452,198,75,977,915,631,819,365,192,39,592,71,790,1015,679,755,452,87,242,501,601,29
"AP006222.2",47,140,272,786,110,107,68,135,122,151,189,641,303,33,88,25,34,240,513,1038,526,16,31,112,118,73
"RP4-669L17.10",2,3,6,43,7,13,2,13,20,79,16,31,14,3,4,2,4,48,17,14,9,3,1,10,16,3
"RP5-857K21.4",3,7,2,7,23,0,1,27,17,45,19,0,0,0,9,1,6,37,1,2,2,5,2,15,20,0
"RP11-206L10.9",107,78,57,141,119,40,16,227,226,158,243,216,82,6,88,4,110,254,232,266,106,21,39,141,133,18
"LINC00115",61,146,52,84,88,15,12,155,130,217,190,79,51,4,58,4,52,93,132,93,76,7,13,102,75,2
"FAM41C",12,18,126,121,26,19,30,47,35,19,17,272,56,10,13,11,14,17,111,67,90,6,6,35,10,9
"RP11-54O7.3",1,10,2,2,19,0,0,2,3,15,0,0,0,0,0,3,3,46,9,1,6,1,0,3,43,0
"SAMD11",7,55,23,58,117,3,7,42,31,305,6,30,20,5,1,11,26,221,112,23,64,7,7,16,160,5
"NOC2L",633,1681,1679,1172,998,252,118,2476,3087,3261,1558,2267,1461,44,418,49,611,2209,1918,3046,623,90,162,602,1104,99
"KLHL17",29,74,21,92,43,4,0,83,53,88,66,74,19,2,36,3,10,62,76,70,80,5,17,48,57,3
"PLEKHN1",44,237,83,82,114,17,3,232,145,426,48,408,67,2,40,2,28,175,162,63,47,12,20,54,182,10
"PERM1",9,22,46,9,34,3,2,3,16,329,10,1,0,0,2,1,50,84,171,61,6,2,28,105,129,1
"RP11-54O7.17",14,49,37,321,66,5,4,71,44,242,464,50,55,12,53,4,13,201,103,41,128,2,16,18,24,6
"HES4",1254,2657,1324,4670,3193,30,183,706,4303,6826,2107,4198,3604,153,717,76,263,4173,9688,2908,3196,50,197,337,1028,28
"ISG15",4256,3367,1562,15026,6818,2104,352,27697,7286,3577,21071,23971,5174,582,14420,980,1144,5215,23602,15794,11436,169,5625,633,1029,598
"AGRN",145,1027,204,690,876,92,47,465,482,1579,948,945,582,58,316,17,196,1434,1288,463,692,47,151,844,749,14
"RP11-54O7.18",2,0,0,2,3,0,0,1,8,1,0,0,0,0,3,0,2,3,0,1,2,0,0,1,1,0
"RNF223",245,211,58,2,153,7,1,0,197,312,0,89,122,0,10,9,101,527,283,445,3,42,159,448,573,0
"C1orf159",85,422,192,139,209,20,19,283,437,714,284,119,71,1,109,13,83,414,299,325,86,11,37,158,220,4
"RP11-465B22.8",16,53,48,3,31,2,3,2,24,76,0,84,28,0,2,6,15,54,159,29,2,4,4,42,68,0
"TTLL10",8,11,12,9,14,6,0,23,36,16,8,107,0,1,46,0,3,152,78,27,28,3,1,7,10,3
"TNFRSF18",1088,1366,474,3394,1459,22,21,1965,3939,974,1155,308,627,20,2050,42,46,615,753,255,1456,94,712,481,1576,100
"TNFRSF4",1963,1476,274,3427,1552,248,72,4880,4222,671,1327,256,95,12,1485,46,53,1137,1093,529,1456,51,451,245,265,110
"SDF4",1650,3864,1506,4135,3490,149,129,6778,6879,11062,9968,4291,1778,92,1769,50,1205,9046,6117,4134,1846,160,511,1577,2371,81
"B3GALT6",48,186,86,727,143,34,7,193,183,295,293,137,74,25,72,4,37,351,258,109,304,7,12,158,112,29
"FAM132A",11,17,18,18,62,4,9,48,92,74,9,72,1,1,4,4,14,129,75,39,21,2,2,8,21,1
"RP5-902P8.12",1,2,4,2,2,1,0,3,5,1,6,1,1,0,1,0,0,4,3,2,2,0,2,2,0,0
"UBE2J2",525,1514,1034,1084,1121,84,124,2681,2750,4438,2279,1571,1216,34,542,46,460,2260,2473,1785,741,59,167,476,686,25
"SCNN1D",13,5,6,24,23,2,2,8,18,43,13,21,12,2,7,2,9,45,55,29,14,2,8,45,87,2
"ACAP3",129,327,325,450,318,44,27,333,290,680,381,253,215,17,98,7,48,565,506,329,258,19,40,132,235,15
"PUSL1",238,641,406,393,474,45,32,896,808,1331,681,568,624,17,224,9,152,594,744,739,211,36,110,279,378,9
"CPSF3L",592,1727,972,1188,1055,300,63,2463,3630,3655,2013,891,833,51,541,38,906,3382,2404,2579,923,73,258,506,880,67
"CPTP",147,1153,853,378,450,69,40,1382,1072,2782,972,553,508,14,181,7,165,1342,953,879,211,18,55,214,233,10
"TAS1R3",2,79,123,7,3,2,1,50,1,46,1,11,17,0,0,0,1,11,14,6,9,1,7,49,19,2
"DVL1",69,437,191,317,297,36,14,295,268,691,375,254,180,21,75,7,77,628,465,200,274,27,46,197,234,17
"MXRA8",360,1043,309,5266,6498,258,381,1017,3192,998,313,620,124,125,77,159,270,7317,2274,601,2148,28,76,610,1095,98
"AURKAIP1",1806,6070,5481,4284,5258,776,524,10719,9824,19366,10631,7914,7490,123,2126,384,2803,8078,12176,12602,2515,287,985,2516,6187,109
"CCNL2",750,1432,811,1686,995,152,158,1126,1555,2411,1578,1467,558,59,499,84,307,2391,2141,1698,1172,85,212,801,944,74
"MRPL20",1498,4252,4337,3698,4495,966,302,7951,8084,12764,7966,5309,5014,102,1717,165,1652,7216,10689,10485,2503,249,1061,3283,3854,614
"RP4-758J18.13",6,17,14,16,20,1,2,14,16,50,15,16,7,0,9,2,6,20,9,16,12,1,4,15,11,0
"ANKRD65",71,155,105,261,520,53,15,125,177,181,128,89,391,6,14,2,1,957,316,77,187,10,4,36,113,5
"RP4-758J18.7",1,3,0,0,2,0,0,2,3,3,6,0,0,0,1,0,1,7,0,0,0,0,1,0,11,1
"RP4-758J18.10",23,123,4,1,93,1,0,19,37,80,9,3,2,0,23,1,8,204,10,1,6,12,18,211,149,0
"VWA1",147,1114,162,1474,1208,51,255,530,477,1556,288,555,516,156,204,47,96,2866,4957,559,2574,64,106,987,1036,39
"ATAD3C",41,80,65,57,53,46,7,90,199,234,62,120,96,1,26,8,12,392,237,92,49,6,16,42,290,7
"ATAD3B",225,628,254,344,343,24,17,998,401,533,781,576,771,13,136,4,48,565,444,200,237,11,49,146,209,20
"ATAD3A",82,496,407,464,272,19,27,995,616,865,792,1277,579,14,110,1,52,587,708,668,261,12,36,85,171,10
"TMEM240",2,5,5,8,15,6,1,1,8,19,25,5,6,1,3,0,0,30,6,5,10,0,0,3,5,0
"SSU72",2115,6905,3578,3348,4059,403,250,7264,9950,13384,5879,5688,6160,89,1810,119,803,4640,9345,5816,2206,173,465,940,2804,182
"RP5-832C2.5",76,55,77,249,66,53,6,137,218,332,179,203,81,19,26,0,22,232,219,117,190,8,22,41,80,48
"C1orf233",6,188,40,264,78,18,3,53,78,339,104,103,65,8,13,0,26,89,89,68,45,12,11,59,47,4
"RP11-345P4.9",87,127,133,132,166,33,13,206,420,502,150,119,59,4,49,3,45,289,385,192,92,8,18,73,65,7
"MIB2",382,500,332,636,391,34,22,765,988,891,576,499,296,19,285,15,104,896,1105,571,492,26,78,180,221,22
"MMP23B",48,75,62,215,498,29,15,253,407,166,99,195,12,2,18,3,54,1867,243,47,108,5,7,27,46,16
"CDK11B",240,485,551,910,364,312,27,994,1186,1470,979,1044,572,33,236,12,260,1215,833,1203,572,52,76,189,366,66
"RP11-345P4.10",6,25,21,17,10,0,1,23,6,35,17,11,14,0,6,0,6,15,49,26,15,3,5,14,7,1
"SLC35E2B",274,447,472,705,441,259,24,460,746,1240,457,261,98,26,176,18,197,977,1678,1636,440,50,77,590,500,132
"RP11-345P4.7",1,0,7,2,2,2,0,7,83,27,3,1,2,1,0,0,1,7,4,7,7,1,0,7,15,2
"CDK11A",356,471,458,883,314,286,17,963,524,1092,1053,1229,366,30,235,6,173,614,562,840,508,59,45,236,332,183
"SLC35E2",31,62,52,47,55,29,1,136,129,125,79,16,19,5,19,1,52,43,65,112,30,2,19,59,39,6
"NADK",147,813,548,1132,379,81,20,1236,719,1413,1348,833,542,38,246,16,123,998,1361,847,491,33,62,239,283,45
"GNB1",507,2274,887,5447,1450,385,138,2281,1870,4142,4233,2562,1209,149,659,41,282,4003,3144,2203,2773,96,234,1088,1559,607
"RP1-140A9.1",4,29,13,12,4,0,3,16,4,9,12,5,0,0,0,0,2,15,20,41,6,0,1,4,4,0
"CALML6",2,0,2,0,0,3,0,1,3,16,3,0,0,0,0,0,2,10,12,5,1,0,0,1,3,0
"TMEM52",27,146,55,15,48,7,2,110,51,928,15,198,78,0,20,1,16,89,151,263,10,10,48,10,64,3
"GABRD",15,54,28,193,215,5,1,178,76,350,70,7,0,12,10,1,18,240,169,220,244,27,22,31,135,2
"PRKCZ",122,536,138,110,241,35,14,658,509,1324,129,803,233,1,193,10,128,418,448,641,138,31,33,86,221,6
"RP11-181G12.2",1,0,3,5,6,4,2,2,6,6,3,0,2,0,1,0,0,12,15,5,8,0,0,1,4,0
"FAAP20",1370,3051,1438,2221,4229,249,204,5992,7326,14074,7486,4595,2383,98,1249,76,896,6567,4892,5145,1364,214,668,1636,2719,40
"SKI",635,566,240,1993,697,168,52,850,936,912,1342,669,176,41,421,25,83,2635,886,223,1095,72,130,271,587,66
"MORN1",50,132,91,56,110,39,6,177,164,516,81,230,43,7,28,2,111,253,239,282,47,14,40,122,167,1
"RER1",1166,5236,2515,4510,4860,649,490,6440,5298,10118,9060,6371,5535,135,1727,246,2483,5810,8650,8268,2455,208,1091,2213,4304,115
"PEX10",164,683,363,420,439,39,42,1445,1020,1252,1023,670,341,17,186,13,215,1117,1108,1395,252,43,144,332,650,17
"PLCH2",59,53,13,43,49,8,0,39,100,119,49,9,16,3,49,1,2,134,96,6,150,5,10,121,246,6
"PANK4",80,156,57,258,165,23,16,160,209,130,216,67,65,7,75,7,70,233,189,272,204,3,25,74,83,5
"HES5",5,7,0,94,15,1,1,2,6,19,13,0,0,59,4,0,0,8,32,7,355,2,3,5,6,2
"RP3-395M20.12",334,303,77,358,395,47,2,496,357,652,509,60,138,10,254,0,40,371,486,874,352,20,113,85,392,4
"RP3-395M20.8",62,59,16,204,45,30,3,139,124,48,115,48,15,3,31,5,25,147,161,154,130,3,17,51,40,13
"TNFRSF14",1988,1582,417,2825,1297,337,49,4770,3564,1527,4173,967,343,82,1581,16,305,3029,3192,1650,1774,108,403,738,854,96
"RP3-395M20.9",21,11,9,52,7,3,1,26,24,10,10,8,0,2,13,0,2,5,22,14,29,0,5,1,3,14
"FAM213B",114,674,66,321,337,50,25,347,640,1548,593,303,120,16,98,13,209,984,1155,1164,201,36,159,397,579,16
"MMEL1",32,251,61,18,167,18,1,41,143,704,68,83,78,1,13,20,254,469,1016,891,16,17,260,278,922,0
"TTC34",1,3,1,14,1,8,0,8,17,10,5,6,1,1,1,0,5,24,48,13,5,0,0,10,7,3
"LINC00982",3,6,1,19,10,4,6,8,1,0,4,8,2,5,2,0,5,65,234,57,87,0,2,3,1,0
"PRDM16",7,9,3,30,27,5,3,14,16,20,8,6,1,5,2,1,1,198,168,60,92,0,1,2,9,4
"ARHGEF16",12,275,91,15,143,11,3,33,81,540,18,267,347,1,22,3,35,169,352,410,7,7,24,134,237,1
"MEGF6",86,147,5,218,240,17,7,268,184,361,47,105,10,2,79,6,12,754,191,30,104,8,9,180,278,7
"RP11-46F15.2",1,7,5,6,2,0,0,4,7,9,1,14,2,0,1,0,3,2,9,11,3,1,0,18,4,0
"TPRG1L",71,357,280,665,223,55,9,302,285,1035,483,869,186,21,70,8,48,857,544,420,403,12,47,130,295,75
"WRAP73",276,568,284,573,474,95,37,951,1461,1388,863,705,467,12,280,19,314,1192,932,763,374,29,92,220,402,32
"TP73",11,7,3,45,15,1,0,55,35,181,75,1,36,0,11,0,7,56,12,39,20,4,4,12,30,2
"TP73-AS1",130,163,77,196,171,49,11,276,271,244,187,145,55,10,67,7,59,589,449,148,167,15,41,134,195,21
"SMIM1",106,297,118,51,356,59,3,225,399,2614,159,213,61,1,57,32,362,444,2033,1063,56,32,257,473,1494,1
"LRRC47",287,890,558,647,692,59,26,2004,2205,2580,1175,940,500,20,241,14,196,1761,1173,1400,448,46,103,333,573,40
"CEP104",225,487,392,694,297,49,14,975,1266,1884,1066,970,342,21,166,5,124,1309,861,767,268,15,59,122,391,63
"DFFB",48,88,44,133,92,28,2,184,184,102,166,126,34,2,58,0,18,136,123,86,80,5,15,43,69,9
"C1orf174",460,925,425,650,750,201,15,1137,1879,1695,1413,1076,598,23,297,9,231,1199,1232,1101,477,43,107,353,485,75
"LINC01134",2,11,20,9,2,4,0,21,13,34,13,7,10,0,2,2,4,11,25,22,7,0,1,12,7,3
"AJAP1",3,4,0,33,1,2,2,6,13,4,1,5,2,6,0,0,1,20,21,19,98,2,0,1,1,3
"RP11-154H17.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"NPHP4",25,111,25,142,56,18,10,78,102,158,156,86,23,5,36,1,27,199,107,82,90,6,13,65,82,8
"KCNAB2",503,514,149,1062,266,94,11,1250,1045,323,1882,247,106,26,541,10,77,392,124,154,392,36,105,97,86,111
"RPL22",28135,40266,26510,29350,30021,13248,514,99684,84181,58838,45899,68984,41866,1269,16428,213,13847,78770,80262,76780,25887,4669,6431,12896,26527,17231
"RP1-120G22.11",4,90,17,0,23,0,0,12,9,8,1,20,19,0,2,0,8,8,13,5,2,1,5,21,14,0
"RNF207",54,152,73,205,109,76,3,186,136,81,116,524,85,2,37,2,11,295,733,515,101,1,17,60,158,16
"ICMT",217,1190,447,1009,908,73,40,1541,1133,2757,2380,1304,604,29,266,21,212,1621,1148,912,530,50,106,267,856,91
"LINC00337",1,11,5,26,6,1,0,11,5,15,5,10,20,0,3,0,1,1,2,2,16,0,1,3,3,4
"GPR153",6,44,9,132,75,97,5,55,106,131,78,146,106,16,9,4,2,133,134,42,80,1,4,43,36,10
"ACOT7",176,605,107,818,531,27,34,1269,1072,1955,2488,518,797,10,393,26,97,449,314,1144,375,25,57,97,462,49
"RP1-202O8.3",10,33,11,45,36,4,0,62,45,81,26,20,10,0,11,0,13,46,74,72,29,1,13,19,27,0
"HES2",24,444,6,42,71,9,2,7,26,151,5,15,662,4,12,1,6,47,91,95,24,4,8,107,41,4
"ESPN",84,125,17,6,147,5,12,65,841,259,7,61,41,0,43,4,57,303,685,38,9,34,42,479,561,3
"TNFRSF25",786,397,270,964,311,40,16,795,1321,247,354,93,53,12,362,16,24,221,241,62,612,23,109,83,97,68
"PLEKHG5",26,102,25,90,97,32,8,97,74,166,279,99,44,7,25,2,14,230,366,19,63,4,11,37,116,6
"NOL9",201,339,196,389,278,97,14,813,890,1037,781,349,216,14,126,5,144,900,443,399,233,24,62,117,205,62
"TAS1R1",1,2,0,3,3,1,0,1,6,3,1,0,0,0,2,0,0,5,5,1,2,0,0,0,1,0
"ZBTB48",164,311,117,358,267,73,14,471,790,659,417,150,101,10,134,11,140,666,509,578,225,24,73,157,213,9
"KLHL21",569,367,196,1069,504,56,11,233,519,296,479,528,95,31,274,7,43,1084,530,154,448,38,93,198,354,90
"PHF13",192,235,82,311,357,40,3,172,479,688,328,277,60,6,88,3,153,648,915,397,150,36,81,291,629,16
"THAP3",171,373,198,402,410,122,13,566,764,896,583,268,179,25,197,6,113,594,483,603,274,19,92,149,362,10
"DNAJC11",136,374,208,398,295,21,15,669,808,957,581,467,161,12,115,13,131,810,303,337,201,19,34,135,201,18
"RP11-242F24.1",1,0,0,4,0,2,0,1,0,0,0,0,2,0,0,0,0,0,3,1,3,0,0,2,1,1
"RP11-312B8.1",11,16,8,10,22,1,0,33,33,50,21,11,3,0,5,0,5,81,19,11,20,1,3,6,8,0
"CAMTA1",1752,3830,2135,2640,4188,631,871,4646,6954,9053,4357,7035,3442,84,1562,309,1032,5422,9453,4526,1859,221,480,2364,3015,301
"RP4-549F15.1",1,5,0,2,8,0,0,1,4,2,1,0,0,1,0,0,1,44,5,0,0,0,0,0,1,0
"VAMP3",511,1829,537,2230,1563,381,44,2128,2199,2847,4546,1507,822,68,660,15,615,4216,3082,2544,1006,85,157,659,1311,305
"PER3",86,216,51,741,467,165,5,95,357,977,474,501,10,24,69,1,81,572,211,728,97,31,26,153,253,30
"RP3-467L1.4",5,2,1,10,0,2,0,7,13,11,7,3,0,1,1,0,1,6,0,5,1,0,0,1,0,0
"UTS2",22,20,192,254,11,3,2,52,737,110,34,7,92,0,20,0,16,3,46,4,20,16,40,0,4,55
"TNFRSF9",320,394,62,2171,208,32,11,1091,1979,167,491,165,32,27,585,3,9,87,43,72,938,21,178,52,33,852
"PARK7",3138,7091,7822,11100,9415,2040,723,18007,22886,24570,16012,9505,10005,325,3425,515,5046,18459,19290,24866,6986,602,1714,3223,6626,3976
"ERRFI1",1792,2389,350,2019,2278,244,277,1665,3425,2099,3341,4165,5041,58,848,76,1069,5738,5204,5692,1335,209,541,874,1838,169
"RP11-431K24.1",17,13,0,55,22,13,0,39,81,29,24,427,121,9,11,1,13,102,54,48,103,2,1,6,9,9
"SLC45A1",18,21,4,32,45,24,6,200,118,30,69,32,3,9,8,1,16,296,247,108,45,2,9,37,28,1
"RERE",484,872,549,1247,1168,220,38,1360,1609,4373,1409,983,363,48,276,24,330,4002,2596,1763,818,85,169,886,1026,136
"RP5-1115A15.1",6,2,1,6,5,5,0,6,7,1,3,3,0,0,2,0,0,9,9,3,14,2,1,2,1,0
"RP4-633I8.4",1,0,0,0,0,0,0,2,4,9,0,0,1,0,0,0,0,4,0,1,1,0,0,1,2,0
"ENO1",3044,13645,7610,19009,7306,1582,719,23041,25142,46946,22356,23880,30950,374,6008,232,1997,15552,11136,10953,7218,329,705,1610,2381,3270
"ENO1-AS1",21,39,68,25,19,3,8,37,25,68,17,40,19,4,12,3,7,42,83,37,26,6,7,26,7,3
"CA6",1,0,2,3,0,36,0,6,30,0,0,1,0,0,0,0,3,4,1,0,2,0,0,0,1,0
"SLC2A5",7,112,31,435,33,8,20,623,92,187,39,143,34,12,180,6,17,56,15,18,118,2,18,13,13,10
"GPR157",83,745,460,413,212,44,2,261,349,1474,231,297,486,12,104,5,61,377,456,327,98,12,24,118,319,126
"MIR34AHG",15,56,50,101,37,11,2,68,58,186,178,37,17,4,24,0,5,83,45,39,31,2,8,29,58,3
"RP3-510D11.2",20,45,58,55,34,9,0,42,80,88,82,29,83,1,17,0,9,117,97,106,32,4,7,45,45,5
"H6PD",99,238,201,449,185,191,37,500,630,620,684,614,174,23,100,4,75,2004,1216,255,304,15,31,88,180,97
"SPSB1",315,534,1265,1054,689,19,27,362,917,950,443,856,276,21,208,21,78,974,627,109,669,24,60,159,434,19
"SLC25A33",1440,3943,3529,1599,1792,68,44,1482,2905,7672,1121,2264,375,30,746,25,123,2406,3244,1225,620,60,196,230,995,104
"TMEM201",38,107,88,154,98,18,4,141,167,202,202,173,43,5,50,5,22,228,267,132,77,12,15,47,62,8
"PIK3CD",240,148,97,410,150,77,5,811,540,157,882,102,28,14,253,3,20,179,88,50,286,14,68,42,41,84
"PIK3CD-AS1",7,4,0,13,6,1,0,30,10,1,19,0,0,1,2,0,0,1,1,4,1,0,2,0,0,1
"PIK3CD-AS2",99,51,124,71,138,55,1,532,438,895,59,221,21,5,20,0,22,303,134,339,42,7,22,58,62,4
"CLSTN1",325,1710,416,1554,1116,272,31,993,1522,3719,1865,1601,500,42,339,12,122,2590,2823,999,754,53,101,965,1054,105
"CTNNBIP1",403,3795,2723,1000,1635,44,124,1678,2421,9001,3452,2816,2303,22,531,64,278,1845,2401,1014,406,53,119,670,855,34
"LZIC",349,1139,467,1063,864,165,31,1130,2210,2734,1929,944,1015,28,329,11,338,1586,1586,1169,502,65,140,515,705,290
"NMNAT1",32,152,84,256,104,70,13,165,340,338,363,266,115,5,45,5,49,425,289,412,131,7,19,63,71,46
"RBP7",390,559,785,268,710,874,53,342,2677,326,1925,410,60,49,103,35,453,13828,5603,2585,869,51,99,268,272,183
"UBE4B",248,520,264,604,326,91,11,610,821,1110,768,488,196,13,215,7,69,832,677,547,335,34,67,200,368,84
"KIF1B",377,718,335,2178,593,106,24,505,1027,1492,1195,803,474,30,359,16,70,1556,1106,604,483,38,122,227,506,173
"PGD",673,3720,735,1793,1673,276,42,4046,6181,8328,10662,1349,1491,30,1043,18,741,2131,1132,1074,351,93,252,516,997,240
"RP4-736L20.3",1,0,2,2,3,0,0,1,4,7,1,2,0,0,2,0,0,1,1,2,1,0,1,0,0,0
"APITD1-CORT",35,14,11,9,8,3,2,35,28,31,32,9,4,1,29,2,3,12,5,17,3,0,5,5,5,0
"APITD1",16,46,240,178,25,44,26,51,61,116,112,512,350,7,11,9,35,66,428,565,120,6,10,44,47,24
"CORT",2,4,1,3,3,1,4,5,12,58,11,5,2,0,0,0,3,54,6,4,7,2,0,3,0,0
"DFFA",284,659,421,798,767,247,38,1313,1866,1943,1835,1477,781,33,280,19,201,2199,1415,1411,439,37,73,237,491,163
"PEX14",121,292,138,314,203,86,10,575,875,869,475,338,199,9,119,6,68,713,502,511,160,20,36,123,145,18
"CASZ1",123,376,498,124,379,52,8,121,379,2206,71,523,118,5,43,7,159,1219,1218,663,146,28,52,573,1054,17
"RP4-734G22.3",3,8,3,2,2,1,0,5,4,51,5,1,1,0,1,0,2,21,6,1,0,1,3,11,27,0
"C1orf127",1,4,77,18,2,0,0,18,9,11,21,6,1,0,2,0,2,2,2,3,0,0,1,4,7,0
"TARDBP",230,360,788,1155,491,304,83,492,536,887,974,1577,850,40,175,64,101,1058,2254,2638,740,31,77,436,687,391
"RP4-635E18.8",7,16,9,7,7,6,0,12,17,24,26,0,1,0,2,4,6,59,12,23,7,2,3,12,16,1
"SRM",257,1183,1218,2687,1147,67,74,1572,1782,3257,2415,2163,2622,85,392,39,112,1380,3520,519,1625,67,110,384,557,76
"EXOSC10",326,656,300,710,532,163,31,1144,1607,1314,994,641,352,11,306,6,214,1507,1859,911,306,75,113,335,414,174
"RP4-635E18.6",4,16,49,31,29,2,5,44,28,12,15,65,89,0,3,12,11,19,100,61,12,3,9,34,3,0
"MTOR",168,433,210,381,242,40,5,625,650,1184,997,522,171,8,115,7,74,780,461,325,229,22,45,146,320,68
"UBIAD1",401,504,224,324,430,83,23,1026,913,1625,853,383,199,11,233,34,327,1131,1141,860,205,33,104,222,447,61
"PTCHD2",6,5,1,0,4,0,0,0,6,48,1,0,0,0,2,1,14,8,16,17,4,2,1,3,42,0
"RP1-69M21.2",1,9,0,0,5,0,0,1,0,2,0,0,0,0,1,0,1,1,3,1,0,1,2,0,0,0
"FBXO2",137,174,160,75,371,15,1,254,544,1216,50,9345,1066,3,397,13,431,1590,735,791,103,2,64,67,261,8
"FBXO44",351,457,235,243,493,125,16,859,1267,771,508,661,145,11,317,30,183,871,980,1087,249,27,126,334,521,17
"FBXO6",157,516,334,905,350,52,32,1454,867,918,991,688,634,15,491,13,213,472,1230,754,314,37,151,246,532,40
"MAD2L2",607,1261,827,854,1515,199,95,3082,4154,8146,3209,1477,1239,39,863,56,352,2610,2278,2360,643,45,158,428,656,30
"DRAXIN",25,12,10,50,24,5,0,35,172,165,52,30,34,3,98,3,2,28,39,19,26,0,2,11,5,5
"AGTRAP",534,2272,610,1977,1924,353,122,3565,4124,6529,7268,2719,4231,43,1747,76,1016,3411,4915,3989,958,153,346,1561,1834,106
"C1orf167",14,46,3,27,86,17,5,21,22,232,18,16,394,4,24,3,81,187,346,41,70,11,18,102,202,1
"MTHFR",95,372,292,565,255,172,12,460,490,1238,651,446,180,34,114,5,166,1144,1258,261,335,30,74,283,304,76
"CLCN6",87,216,52,247,167,47,12,227,340,676,388,196,58,8,103,5,45,476,289,114,113,14,29,128,237,37
"NPPA-AS1",4,6,7,25,9,3,0,12,5,13,10,23,3,0,1,0,1,17,22,21,15,0,5,8,3,3
"KIAA2013",80,414,332,1675,305,123,22,519,502,806,893,1079,319,55,180,13,72,840,1035,552,662,15,46,327,291,96
"PLOD1",180,904,329,1317,1101,317,37,1141,1998,1373,4126,1232,545,68,458,5,244,2150,1503,548,620,35,92,258,510,93
"MFN2",172,481,280,598,284,83,13,518,517,881,1036,476,276,12,178,8,94,1013,852,585,267,21,60,348,288,72
"MIIP",578,1206,411,939,799,160,47,2495,2852,2801,2157,813,416,20,776,22,259,1679,1103,1185,481,48,203,363,510,21
"TNFRSF8",17,26,24,62,48,19,0,110,95,24,83,23,3,3,10,0,3,124,93,25,49,1,18,9,2,7
"TNFRSF1B",2194,1345,487,3288,787,192,19,5742,5730,732,7700,766,227,64,1757,12,92,3173,1249,395,1312,97,355,283,308,859
"VPS13D",290,509,453,704,521,111,25,567,724,1095,813,337,119,20,158,21,123,1501,919,404,472,52,65,344,531,119
"DHRS3",274,851,851,865,694,264,25,812,1175,667,1122,466,562,26,391,9,130,1812,1348,2318,541,46,76,182,125,144
"RP11-474O21.5",6,5,18,2,5,2,0,5,4,1,7,7,1,0,5,0,2,7,6,2,2,2,0,0,3,0
"HNRNPCL1",1,1,1,1,2,0,0,0,0,0,0,4,2,0,1,3,0,0,4,9,0,2,1,1,3,0
"PDPN",95,304,11,1549,817,138,31,312,422,419,739,369,182,3,27,2,28,743,291,34,580,3,3,113,144,65
"PRDM2",977,790,637,4102,754,324,29,1367,1545,2013,1169,1308,365,45,531,16,169,2038,1714,1081,1520,94,219,463,900,689
"KAZN",77,562,75,251,289,80,5,267,295,2064,166,573,172,20,9,6,40,825,522,170,396,8,8,190,446,16
"TMEM51-AS1",10,17,10,39,13,4,0,33,12,35,15,8,10,0,4,0,1,26,19,2,6,0,0,7,15,1
"TMEM51",187,656,137,1180,350,46,24,1183,576,1380,1290,314,256,16,247,8,62,745,618,447,225,3,21,69,253,47
"FHAD1",22,69,12,420,200,138,1,206,143,150,345,51,31,5,48,1,11,183,85,41,47,8,5,22,88,23
"RP3-467K16.4",2,3,7,19,2,0,0,3,5,0,11,2,8,0,1,0,2,3,3,3,11,1,0,6,5,6
"EFHD2",431,860,604,6110,657,105,47,2332,1211,1351,5935,3004,2454,90,722,16,104,1484,1551,803,1374,35,141,279,741,226
"CTRC",2,2,2,11,0,0,1,1,1,3,5,8,5,1,0,0,0,1,5,0,8,0,1,2,2,1
"CELA2B",3,0,0,1,0,0,0,1,1,2,0,0,8,1,1,0,0,0,0,0,3,0,0,0,0,0
"CASP9",103,199,100,265,148,58,8,252,307,255,487,212,498,14,108,10,43,256,307,211,159,15,37,79,92,32
"DNAJC16",88,272,244,286,207,95,9,246,401,502,486,238,125,6,77,6,79,576,783,739,182,25,21,252,389,38
"AGMAT",40,33,128,85,61,20,1,287,260,75,172,116,135,1,25,1,8,25,129,64,46,5,5,4,16,29
"RP4-680D5.2",3,21,51,9,10,1,0,2,10,160,7,17,6,1,7,1,21,15,18,3,6,1,1,23,53,0
"DDI2",182,566,777,496,300,106,12,536,575,1336,729,470,194,14,139,9,143,931,849,1045,319,24,61,313,554,112
"PLEKHM2",115,314,138,1647,290,90,21,581,363,512,1087,439,125,32,190,10,48,868,535,222,509,18,53,155,219,41
"SLC25A34",13,7,9,39,8,6,3,11,15,17,43,12,2,1,4,0,2,35,34,3,25,0,1,7,3,1
"FBLIM1",372,901,343,1310,1307,146,70,1068,1908,3102,5091,1467,445,122,86,31,72,2902,1990,479,1489,36,31,338,398,75
"UQCRHL",2048,3573,520,76,1760,162,69,3929,5708,5554,3898,1241,955,1,2020,146,1320,2424,571,799,45,658,982,1053,1309,139
