"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"RP4-536B24.3",5,4,2,6,2,0,0,28,15,9,40,1,1,0,0,0,0,1,0,1,6,1,1,2,1,1
"SLC7A5",2086,1620,444,1883,822,26,27,2574,1428,1679,3171,1613,2841,56,1998,17,218,1138,212,159,1113,113,362,510,543,341
"RP4-536B24.2",2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"BANP",337,437,224,664,323,140,26,941,1360,664,713,630,355,16,295,12,103,1027,442,434,362,39,93,165,377,71
"RP11-863P13.3",2,4,2,100,34,7,4,16,1,6,33,288,1,3,0,0,0,13,15,2,25,0,1,5,4,2
"LA16c-444G7.2",1,2,0,2,2,3,1,2,22,2,1,46,0,0,0,0,1,4,2,0,0,0,0,1,2,0
"ZNF469",14,17,2,197,125,11,6,117,78,49,88,367,13,4,13,1,0,172,92,5,45,4,5,52,59,3
"ZFPM1",19,26,13,802,22,9,0,26,31,36,31,27,20,29,9,0,8,49,47,16,481,5,2,27,29,5
"ZC3H18",289,425,416,1210,321,201,22,984,1224,908,1208,2020,416,27,252,8,85,1182,679,440,516,30,72,120,471,160
"IL17C",1,18,1,2,1,0,0,4,2,17,5,8,43,0,1,0,0,0,8,0,4,2,3,2,1,0
"CYBA",2381,11538,4190,34883,3509,1422,779,37982,22994,7298,26448,47221,20397,568,10226,283,836,9288,7953,9491,9881,308,510,727,1330,251
"MVD",338,719,959,594,379,103,36,791,1036,3579,1028,2046,785,23,302,14,106,742,531,490,367,25,75,194,391,28
"SNAI3-AS1",22,14,11,31,33,6,1,61,69,43,66,15,7,0,12,0,13,92,38,20,31,0,10,19,28,0
"SNAI3",245,104,39,137,87,34,3,262,592,68,173,30,8,1,180,1,20,56,21,19,63,24,33,25,21,12
"RNF166",462,508,340,1358,295,79,28,1645,1512,408,1740,1189,162,24,554,19,49,490,523,326,710,32,143,108,119,58
"CTU2",220,260,171,335,279,47,5,710,1111,583,693,801,207,12,139,6,105,597,464,323,268,21,48,99,225,10
"RP5-1142A6.10",1,0,0,7,1,0,0,1,3,5,3,6,3,0,0,0,1,6,2,0,3,0,0,0,1,0
"PIEZO1",262,484,267,947,485,83,37,463,505,520,1119,1999,226,25,268,24,98,1400,1055,195,536,29,120,264,559,48
"RP5-1142A6.9",1,1,0,15,0,0,0,2,3,4,6,1,1,0,2,0,0,4,0,0,2,0,0,1,4,0
"RP5-1142A6.2",1,0,1,9,1,2,0,2,3,3,1,8,0,1,1,0,0,4,4,0,1,0,0,1,4,0
"RP5-1142A6.8",1,0,20,36,0,9,0,0,1,1,0,57,6,0,0,0,0,1,58,11,19,0,0,0,0,15
"CDT1",53,166,64,278,106,5,7,680,696,536,567,521,347,3,87,3,42,71,110,219,95,6,12,18,48,16
"APRT",4647,8673,6611,5664,6667,1404,440,9751,15372,11032,13053,15234,8400,196,2691,366,1918,12401,8425,10115,3412,421,1188,2802,9021,236
"GALNS",118,338,75,768,497,72,28,587,669,760,778,1723,276,17,182,7,105,552,309,328,254,8,39,84,213,19
"TRAPPC2L",759,1742,1014,1947,2174,641,146,2789,3798,1813,3923,2512,2428,73,672,63,839,4299,2607,3744,1120,127,278,1002,2110,668
"CBFA2T3",41,46,31,186,93,59,5,178,215,80,147,42,4,22,7,2,15,404,371,223,221,10,29,79,24,7
"RP11-830F9.5",1,2,0,1,2,1,0,1,5,2,0,0,2,0,0,0,1,5,3,3,0,0,0,0,0,0
"RP11-830F9.6",5,13,5,25,17,14,4,9,15,4,16,12,0,2,2,1,2,136,53,26,37,4,3,6,5,1
"CTD-2555A7.2",1,1,11,54,2,5,0,0,7,10,2,123,15,0,0,5,3,17,9,69,8,0,0,2,1,9
"ACSF3",207,352,121,446,316,132,10,736,1065,738,798,958,250,16,135,13,144,951,581,370,213,11,61,128,296,47
"CTD-2555A7.3",4,0,2,12,3,3,0,18,9,10,11,3,0,0,2,1,0,2,0,1,1,1,2,0,1,0
"LINC00304",1,0,6,9,0,0,0,2,1,1,1,2,1,0,0,0,1,6,3,0,9,1,2,1,3,1
"RP11-46C24.7",57,93,46,76,65,26,1,67,125,42,68,69,26,2,33,2,16,192,116,80,69,4,8,31,47,7
"ZNF778",86,124,101,140,77,18,4,128,238,267,136,180,45,8,75,1,40,269,121,78,97,5,19,41,147,14
"ANKRD11",538,1041,1248,5393,807,744,36,2721,2966,2518,3555,8740,1019,102,332,16,138,4617,2400,1237,2464,70,152,270,1200,656
"AC137932.4",4,3,89,85,1,57,0,3,4,32,8,122,34,3,1,0,0,9,47,25,59,0,0,2,4,60
"AC137932.6",1,0,0,0,1,0,0,1,2,2,5,1,0,0,0,0,0,1,3,0,2,1,0,0,1,0
"SPG7",555,904,574,1118,834,273,30,1841,2556,1503,1997,1495,435,34,354,27,345,2616,1244,1016,763,55,129,303,758,149
"RP11-104N10.1",3,13,8,18,6,3,0,11,8,14,6,71,11,1,1,1,2,24,8,11,10,0,2,7,3,4
"RPL13",168950,169892,80082,124717,142510,41103,1336,281609,348032,112629,234611,462814,161643,4906,59438,468,15885,391670,306324,173612,105471,14240,22578,32135,138872,6111
"CPNE7",179,208,149,154,150,54,3,447,477,173,360,109,38,0,369,4,34,161,102,15,301,29,60,115,129,16
"DPEP1",7,45,1,34,68,0,8,199,62,467,8,8,0,0,4,12,25,566,92,68,94,17,115,5,59,6
"CHMP1A",505,1302,772,1321,877,241,36,1763,2596,1648,2335,3174,903,46,556,23,222,2019,1391,1309,737,53,100,342,730,39
"SPATA33",174,538,230,436,392,116,17,570,754,1827,634,1403,323,11,126,15,167,842,730,704,363,32,83,331,515,38
"CDK10",326,547,418,623,503,175,31,680,1693,852,996,1441,285,22,313,23,176,1493,1155,597,457,53,114,260,553,38
"RP11-368I7.4",8,12,8,8,6,0,0,9,22,28,13,5,12,0,3,1,10,16,2,13,11,6,7,48,67,0
"SPATA2L",359,405,213,424,285,27,10,330,960,419,378,700,83,8,249,3,86,740,582,369,213,27,88,123,337,17
"VPS9D1",76,208,68,258,114,55,8,304,292,304,904,231,113,9,98,1,48,353,122,85,120,5,32,79,221,17
"VPS9D1-AS1",71,149,22,0,98,3,2,419,528,32,14,138,6,0,2,3,21,152,46,102,2,5,28,21,79,1
"ZNF276",198,198,259,591,208,100,13,447,507,184,409,809,127,14,169,6,40,534,492,167,449,25,48,85,224,98
"FANCA",86,140,135,350,110,33,14,601,355,507,507,686,222,3,119,0,30,122,158,259,168,2,30,34,30,61
"SPIRE2",5,87,70,40,17,12,1,23,45,186,37,190,159,2,8,3,18,91,177,130,38,2,11,37,132,9
"TCF25",1664,2552,1700,5564,2273,1523,93,5359,7529,5440,5741,6061,2900,148,1138,42,1225,10099,3834,5363,2749,209,579,952,2681,264
"MC1R",14,27,45,48,40,28,0,25,28,35,28,207,26,5,14,0,3,107,75,27,49,1,3,11,29,3
"TUBB3",139,1331,1,44,621,1,2,190,593,998,2036,86,193,7,185,3,84,512,4,0,26,39,44,146,334,0
"DEF8",291,651,364,1003,698,136,114,1508,1508,1280,2171,2031,1002,30,345,30,139,1462,871,496,511,23,91,199,458,64
"CENPBD1",49,190,87,179,100,54,8,290,293,256,227,590,139,8,34,2,47,253,127,253,78,6,14,38,165,7
"RP11-566K11.5",3,4,0,2,3,0,0,2,3,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,7,0
"DBNDD1",44,1439,96,2,347,11,1,300,710,618,167,454,143,2,71,8,190,310,234,269,12,15,50,186,602,3
"GAS8",63,269,107,101,174,56,12,154,390,206,181,557,89,11,53,11,162,572,423,431,121,14,33,135,375,4
"FAM157C",17,39,38,30,6,23,4,24,16,156,110,57,41,5,17,1,3,48,33,39,29,4,1,12,3,6
"RP11-356C4.5",1,2,2,1,2,0,0,3,1,32,5,0,3,0,0,0,0,6,0,1,0,0,0,1,0,0
"AC137934.1",3,10,30,41,7,7,3,19,18,24,21,52,16,1,10,7,10,28,101,51,36,7,2,24,32,16
"RP11-1228E12.1",7,5,0,3,3,0,0,6,12,23,15,2,1,0,1,0,1,17,0,0,0,0,2,7,3,0
"RP11-1228E12.2",1,3,3,15,3,0,0,3,5,21,10,11,3,0,3,0,0,2,5,1,3,0,0,3,2,1
"DOC2B",27,86,5,140,69,24,14,53,77,6,46,65,52,6,32,11,28,1797,1051,34,212,13,17,19,42,17
"RPH3AL",40,118,19,75,165,37,8,59,107,138,278,23,196,9,35,6,42,796,974,333,89,19,18,91,395,11
"RP11-1260E13.1",1,0,0,1,1,1,6,0,2,0,0,0,0,0,18,0,1,7,3,0,0,4,0,0,0,0
"AC108004.3",13,7,0,3,7,0,0,23,22,20,19,1,0,0,11,0,3,12,4,1,5,3,5,3,5,3
"C17orf97",6,21,68,97,40,23,3,66,340,187,234,24,36,2,20,12,21,122,298,354,30,16,7,70,155,4
"FAM101B",36,98,58,614,125,47,19,237,169,121,272,121,49,10,68,1,11,426,911,83,382,9,15,32,81,32
"VPS53",302,259,230,761,207,162,14,651,921,686,914,511,222,24,178,11,115,1130,753,356,328,50,39,198,866,148
"FAM57A",35,74,33,176,140,16,5,126,187,232,531,365,103,3,30,5,7,314,300,57,108,6,9,38,50,12
"GEMIN4",75,79,64,111,61,44,6,149,235,88,204,244,158,4,37,5,69,245,222,169,126,7,11,54,109,18
"GLOD4",527,752,572,1393,941,432,96,1781,3199,1371,1701,2219,1126,29,450,75,527,2470,2204,2459,1237,68,144,803,1695,503
"RP11-676J12.4",2,1,3,3,1,0,0,1,1,1,4,12,1,1,0,0,1,4,6,1,6,0,0,0,4,0
"RNMTL1",262,280,207,423,303,104,28,510,873,512,442,552,321,16,205,19,190,708,492,403,361,35,60,178,467,26
"RP11-676J12.9",1,0,1,6,1,1,0,1,2,0,1,1,2,0,0,0,0,12,0,0,5,0,1,0,0,0
"NXN",67,269,4,1061,297,64,15,149,389,61,669,172,97,21,14,1,9,968,588,39,609,7,6,46,80,53
"RP11-676J12.7",9,13,1,15,164,29,3,29,26,4,150,3,4,0,3,1,1,56,12,3,16,0,1,13,10,6
"TIMM22",412,455,412,508,638,215,63,891,1186,1014,1290,1144,695,27,320,20,292,1289,801,681,477,59,70,376,1029,43
"ABR",178,297,135,1029,272,82,15,769,614,357,1364,196,62,17,260,12,117,1329,786,337,346,28,50,160,335,83
"TUSC5",4,0,1,4,0,1,0,1,2,0,7,0,0,1,2,0,0,8,3,5,7,0,0,0,0,0
"YWHAE",3057,4160,2712,5924,5237,1668,372,7638,13076,10367,10563,9133,6571,247,2311,156,3746,15279,11701,9579,3290,511,561,4249,8878,1716
"CRK",468,586,493,1817,857,209,51,1048,1467,2147,2038,3115,804,75,237,32,170,3704,3961,1151,1347,64,83,476,1896,299
"MYO1C",214,656,408,1923,874,322,46,902,909,2388,1858,1722,492,90,249,17,355,4438,3346,1141,1280,50,118,746,2359,100
"INPP5K",506,532,252,554,609,105,27,1187,1479,734,961,414,176,17,374,21,260,1991,1209,609,444,54,67,290,944,55
"PITPNA-AS1",425,487,352,304,541,138,12,657,1069,966,688,914,700,15,230,12,532,901,928,667,289,71,105,595,1406,20
"PITPNA",127,258,203,1791,262,72,22,519,443,569,744,868,319,24,131,16,116,1004,1091,343,742,21,49,202,730,148
"SLC43A2",141,362,179,2074,169,116,33,1230,788,632,1886,790,340,19,292,13,261,735,956,569,220,21,53,197,174,74
"SCARF1",52,152,16,511,171,29,43,301,144,38,457,135,31,21,106,9,21,1223,872,102,310,18,21,46,84,19
"RILP",69,210,209,817,189,22,28,731,318,518,1003,473,326,19,125,10,53,812,802,262,258,6,26,43,84,18
"PRPF8",757,732,548,1836,799,256,35,2087,2703,1960,2398,1298,449,56,440,17,603,3624,1807,675,874,86,133,624,2457,337
"RP11-961A15.3",4,1,22,15,4,3,0,12,10,3,3,25,23,1,2,0,1,6,22,8,8,0,3,10,5,0
"TLCD2",25,104,52,354,73,179,5,89,106,140,103,230,242,13,8,3,34,720,274,223,204,1,4,46,141,58
"MIR22HG",1079,587,141,2903,1026,254,47,568,1150,527,1157,661,361,75,454,23,227,3857,1899,575,1297,119,116,396,1436,227
"WDR81",38,111,54,544,178,86,11,366,259,92,481,136,36,14,87,4,30,487,210,144,165,9,31,78,133,38
"SERPINF2",35,85,12,134,210,17,6,155,344,37,128,367,61,3,28,11,28,692,118,417,61,11,4,21,22,14
"SERPINF1",843,2663,234,15764,7507,3005,518,6009,5677,1916,2352,3073,502,895,1135,63,511,16376,3160,2291,9248,95,234,762,1310,1333
"SMYD4",77,127,136,467,167,140,15,530,485,227,535,673,153,14,63,6,94,1242,576,480,317,15,32,49,258,68
"RPA1",279,472,409,719,539,155,72,1176,1877,605,1299,1991,458,17,235,20,279,1558,1098,819,361,33,64,388,744,205
"RTN4RL1",3,5,0,15,22,3,0,38,42,178,4,49,0,2,3,1,39,115,126,17,21,2,3,84,58,1
"CTD-2545H1.2",1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,0,1,2,0,0,1,0,0,0,2,0
"DPH1",272,259,7,34,392,9,0,604,1076,598,673,20,4,2,171,1,421,957,41,25,25,42,65,212,901,4
"OVCA2",546,561,0,0,678,0,0,1505,1260,1405,1699,0,0,0,489,0,826,895,0,0,0,68,155,337,1196,0
"RP11-667K14.4",2,6,0,15,5,1,0,5,7,4,29,0,1,0,3,0,1,19,4,3,5,0,3,3,6,1
"RP11-667K14.3",2,11,0,74,4,4,0,20,5,4,70,3,2,2,7,0,0,27,2,2,13,0,5,3,6,12
"HIC1",94,92,37,1064,311,139,8,234,200,48,416,169,16,99,53,3,6,737,574,85,864,12,27,39,61,37
"SMG6",215,200,181,746,333,222,13,658,681,623,667,752,200,26,119,6,149,1197,702,460,399,23,44,140,421,81
"AC090617.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SRR",40,49,29,252,128,50,11,191,465,283,420,158,90,8,22,5,149,205,339,150,100,10,16,155,156,21
"TSR1",288,349,317,673,360,115,24,755,1285,900,1052,1832,470,17,143,10,320,1120,837,582,301,39,49,193,894,93
"SGSM2",113,115,99,394,207,91,11,152,307,400,256,378,64,18,53,11,95,873,530,462,246,25,25,233,829,49
"RP1-59D14.10",1,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0
"RP1-59D14.5",1,1,1,0,0,1,0,5,4,8,3,1,1,1,3,0,2,15,1,1,3,0,2,1,15,0
"MNT",76,138,196,552,152,136,5,275,359,418,408,748,93,18,67,3,55,635,625,341,213,21,24,129,366,75
"METTL16",283,193,242,614,306,205,6,480,655,360,541,648,198,12,167,8,107,948,690,394,311,24,50,157,595,201
"PAFAH1B1",1553,1377,899,3850,1749,485,140,3102,3953,3103,3892,3226,1260,66,1122,64,570,4186,2259,1481,1601,165,301,715,2171,317
"RP11-74E22.6",9,1,0,0,3,0,0,1,7,7,2,0,0,1,4,0,0,10,0,0,0,0,0,2,4,0
